[2026-03-24T04:54:08.954Z] Server started/reloaded
[2026-03-24T04:55:43.451Z] Server started/reloaded
[2026-03-24T05:11:36.829Z] [REQUEST] GET /api/notifications/user/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:11:36.830Z] [REQUEST] GET /api/residents/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:11:36.842Z] [REQUEST] GET /api/notifications/user/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:11:36.847Z] [REQUEST] GET /api/residents/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:11:36.850Z] [REQUEST] GET /api/residents/flat/A/101
[2026-03-24T05:11:36.855Z] [REQUEST] GET /api/notifications/user/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:11:36.857Z] [REQUEST] GET /api/residents/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:11:36.867Z] [REQUEST] GET /api/notifications/user/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:11:36.871Z] [REQUEST] GET /api/residents/flat/A/101
[2026-03-24T05:11:36.876Z] [REQUEST] GET /api/residents/flat/A/101
[2026-03-24T05:11:36.878Z] [REQUEST] GET /api/notifications/user/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:11:36.881Z] [REQUEST] GET /api/residents/flat/A/101
[2026-03-24T05:11:36.885Z] [REQUEST] GET /api/notifications/user/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:11:36.888Z] [REQUEST] GET /api/residents/flat/A/101
[2026-03-24T05:11:36.894Z] [REQUEST] GET /api/residents/flat/A/101
[2026-03-24T05:11:36.899Z] [REQUEST] GET /api/residents/flat/A/101
[2026-03-24T05:11:38.786Z] [REQUEST] GET /api/service-requests
[2026-03-24T05:11:40.076Z] [REQUEST] GET /api/passes
[2026-03-24T05:12:55.191Z] [REQUEST] GET /api/admin/resident-entries
[2026-03-24T05:12:55.192Z] [REQUEST] GET /api/residents/by-user/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:12:55.194Z] [REQUEST] POST /api/ai/generate
[2026-03-24T05:12:55.198Z] [REQUEST] GET /api/notifications/user/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:12:55.200Z] [REQUEST] GET /api/admin/resident-entries
